Subject,session,session_rev,Reward,ACC
1,2,0,1,0.9375
1,2,0,-1,0.909090909
1,3,1,1,1
1,3,1,-1,0.961538462
1,4,2,1,1
1,4,2,-1,0.882352941
1,5,3,1,1
1,5,3,-1,0.846153846
1,6,4,1,1
1,6,4,-1,0.894736842
1,7,5,1,0.947368421
1,7,5,-1,0.9375
1,8,6,1,0.933333333
1,8,6,-1,1
1,9,7,1,1
1,9,7,-1,0.863636364
2,2,0,1,0.777777778
2,2,0,-1,0.666666667
2,3,1,1,0.8125
2,3,1,-1,0.909090909
2,4,2,1,0.764705882
2,4,2,-1,0.8
2,5,3,1,0.736842105
2,5,3,-1,0.933333333
2,6,4,1,0.8125
2,6,4,-1,0.823529412
2,7,5,1,1
2,7,5,-1,0.818181818
2,8,6,1,0.866666667
2,8,6,-1,0.863636364
2,9,7,1,0.736842105
2,9,7,-1,0.952380952
3,2,0,1,0.875
3,2,0,-1,0.5
3,3,1,1,0.714285714
3,3,1,-1,0.777777778
3,4,2,1,0.933333333
3,4,2,-1,0.952380952
3,5,3,1,1
3,5,3,-1,0.772727273
3,6,4,1,1
3,6,4,-1,1
3,7,5,1,0.866666667
3,7,5,-1,0.642857143
3,8,6,1,1
3,8,6,-1,0.833333333
3,9,7,1,0.9
3,9,7,-1,0.85
4,2,0,1,0.75
4,2,0,-1,0.583333333
4,3,1,1,0.846153846
4,3,1,-1,0.5
4,4,2,1,0.526315789
4,4,2,-1,0.8
4,5,3,1,0.526315789
4,5,3,-1,0.882352941
4,6,4,1,0.5
4,6,4,-1,0.733333333
4,7,5,1,0.777777778
4,7,5,-1,0.625
4,8,6,1,0.571428571
4,8,6,-1,0.80952381
4,9,7,1,0.75
4,9,7,-1,0.444444444
9,2,0,1,0.846153846
9,2,0,-1,0.533333333
9,3,1,1,0.866666667
9,3,1,-1,0.818181818
9,4,2,1,0.928571429
9,4,2,-1,0.894736842
9,5,3,1,1
9,5,3,-1,0.909090909
9,6,4,1,0.933333333
9,6,4,-1,0.727272727
9,7,5,1,0.923076923
9,7,5,-1,1
9,8,6,1,0.875
9,8,6,-1,0.92
9,9,7,1,0.875
9,9,7,-1,1
10,2,0,1,0.818181818
10,2,0,-1,0.764705882
10,3,1,1,0.842105263
10,3,1,-1,1
10,4,2,1,0.947368421
10,4,2,-1,1
10,5,3,1,0.769230769
10,5,3,-1,0.933333333
10,6,4,1,0.894736842
10,6,4,-1,1
10,7,5,1,0.875
10,7,5,-1,0.9375
10,8,6,1,0.8
10,8,6,-1,0.92
10,9,7,1,0.9375
10,9,7,-1,0.764705882
11,2,0,1,0.857142857
11,2,0,-1,0.705882353
11,3,1,1,0.75
11,3,1,-1,0.647058824
11,4,2,1,0.916666667
11,4,2,-1,0.75
11,5,3,1,0.9375
11,5,3,-1,0.92
11,6,4,1,0.882352941
11,6,4,-1,0.826086957
11,7,5,1,1
11,7,5,-1,0.777777778
11,8,6,1,0.894736842
11,8,6,-1,0.789473684
11,9,7,1,0.928571429
11,9,7,-1,0.727272727
12,2,0,1,0.916666667
12,2,0,-1,0.714285714
12,3,1,1,0.785714286
12,3,1,-1,0.95
12,4,2,1,0.846153846
12,4,2,-1,0.727272727
12,5,3,1,0.714285714
12,5,3,-1,0.888888889
12,6,4,1,0.785714286
12,6,4,-1,0.833333333
12,7,5,1,0.782608696
12,7,5,-1,0.888888889
12,8,6,1,0.764705882
12,8,6,-1,0.944444444
12,9,7,1,0.916666667
12,9,7,-1,0.916666667
18,2,0,1,0.636363636
18,2,0,-1,0.833333333
18,3,1,1,0.928571429
18,3,1,-1,0.8
18,4,2,1,0.823529412
18,4,2,-1,0.866666667
18,5,3,1,0.888888889
18,5,3,-1,0.933333333
18,6,4,1,0.866666667
18,6,4,-1,0.888888889
18,7,5,1,0.928571429
18,7,5,-1,0.866666667
18,8,6,1,0.8125
18,8,6,-1,0.888888889
18,9,7,1,0.875
18,9,7,-1,0.923076923
19,2,0,1,0.928571429
19,2,0,-1,0.866666667
19,3,1,1,0.789473684
19,3,1,-1,0.904761905
19,4,2,1,1
19,4,2,-1,0.833333333
19,5,3,1,0.866666667
19,5,3,-1,0.862068966
19,6,4,1,0.857142857
19,6,4,-1,0.888888889
19,7,5,1,0.785714286
19,7,5,-1,1
19,8,6,1,1
19,8,6,-1,0.857142857
19,9,7,1,1
19,9,7,-1,0.888888889
20,2,0,1,0.8
20,2,0,-1,0.818181818
20,3,1,1,0.764705882
20,3,1,-1,0.866666667
20,4,2,1,0.705882353
20,4,2,-1,0.75
20,5,3,1,0.9
20,5,3,-1,0.833333333
20,6,4,1,0.789473684
20,6,4,-1,0.7
20,7,5,1,0.833333333
20,7,5,-1,0.714285714
20,8,6,1,0.705882353
20,8,6,-1,0.875
20,9,7,1,0.714285714
20,9,7,-1,0.666666667
25,2,0,1,0.882352941
25,2,0,-1,0.9
25,3,1,1,0.764705882
25,3,1,-1,0.714285714
25,4,2,1,0.888888889
25,4,2,-1,0.85
25,5,3,1,0.923076923
25,5,3,-1,0.705882353
25,6,4,1,0.923076923
25,6,4,-1,1
25,7,5,1,0.923076923
25,7,5,-1,0.857142857
25,8,6,1,0.933333333
25,8,6,-1,0.75
25,9,7,1,0.882352941
25,9,7,-1,1
26,2,0,1,0.933333333
26,2,0,-1,0.8
26,3,1,1,0.875
26,3,1,-1,0.909090909
26,4,2,1,0.882352941
26,4,2,-1,0.956521739
26,5,3,1,0.9375
26,5,3,-1,0.8125
26,6,4,1,1
26,6,4,-1,0.933333333
26,7,5,1,0.933333333
26,7,5,-1,0.875
26,8,6,1,0.823529412
26,8,6,-1,0.823529412
26,9,7,1,0.941176471
26,9,7,-1,1
28,2,0,1,0.916666667
28,2,0,-1,0.8125
28,3,1,1,0.866666667
28,3,1,-1,0.818181818
28,4,2,1,0.866666667
28,4,2,-1,0.9
28,5,3,1,0.823529412
28,5,3,-1,0.941176471
28,6,4,1,0.8125
28,6,4,-1,1
28,7,5,1,0.894736842
28,7,5,-1,0.869565217
28,8,6,1,1
28,8,6,-1,1
28,9,7,1,0.941176471
28,9,7,-1,0.916666667
33,2,0,1,0.9
33,2,0,-1,0.7
33,3,1,1,0.875
33,3,1,-1,1
33,4,2,1,0.846153846
33,4,2,-1,0.833333333
33,5,3,1,0.857142857
33,5,3,-1,0.866666667
33,6,4,1,0.941176471
33,6,4,-1,0.947368421
33,7,5,1,0.923076923
33,7,5,-1,0.916666667
33,8,6,1,0.866666667
33,8,6,-1,0.944444444
33,9,7,1,1
33,9,7,-1,0.933333333
34,2,0,1,1
34,2,0,-1,0.909090909
34,3,1,1,0.944444444
34,3,1,-1,1
34,4,2,1,1
34,4,2,-1,0.714285714
34,5,3,1,0.928571429
34,5,3,-1,0.952380952
34,6,4,1,1
34,6,4,-1,0.882352941
34,7,5,1,0.947368421
34,7,5,-1,1
34,8,6,1,0.875
34,8,6,-1,1
34,9,7,1,1
34,9,7,-1,0.866666667
35,2,0,1,0.636363636
35,2,0,-1,0.631578947
35,3,1,1,0.705882353
35,3,1,-1,0.95
35,4,2,1,0.761904762
35,4,2,-1,0.925925926
35,5,3,1,0.8
35,5,3,-1,0.545454545
35,6,4,1,0.692307692
35,6,4,-1,0.631578947
35,7,5,1,0.823529412
35,7,5,-1,0.791666667
35,8,6,1,0.866666667
35,8,6,-1,0.714285714
35,9,7,1,0.8125
35,9,7,-1,0.714285714
36,2,0,1,0.823529412
36,2,0,-1,0.909090909
36,3,1,1,0.666666667
36,3,1,-1,0.888888889
36,4,2,1,0.75
36,4,2,-1,0.714285714
36,5,3,1,0.75
36,5,3,-1,0.818181818
36,6,4,1,0.846153846
36,6,4,-1,0.8
36,7,5,1,0.928571429
36,7,5,-1,0.615384615
36,8,6,1,0.916666667
36,8,6,-1,0.769230769
36,9,7,1,0.933333333
36,9,7,-1,0.666666667
41,2,0,1,0.666666667
41,2,0,-1,0.846153846
41,3,1,1,0.736842105
41,3,1,-1,0.8125
41,4,2,1,0.928571429
41,4,2,-1,0.846153846
41,5,3,1,0.923076923
41,5,3,-1,0.769230769
41,6,4,1,0.857142857
41,6,4,-1,0.928571429
41,7,5,1,0.866666667
41,7,5,-1,0.875
41,8,6,1,0.923076923
41,8,6,-1,0.909090909
41,9,7,1,1
41,9,7,-1,0.764705882
42,2,0,1,0.733333333
42,2,0,-1,0.769230769
42,3,1,1,0.65
42,3,1,-1,0.882352941
42,4,2,1,0.833333333
42,4,2,-1,0.72
42,5,3,1,0.866666667
42,5,3,-1,0.818181818
42,6,4,1,1
42,6,4,-1,0.833333333
42,7,5,1,0.833333333
42,7,5,-1,0.882352941
42,8,6,1,1
42,8,6,-1,0.75
42,9,7,1,0.789473684
42,9,7,-1,0.923076923
43,2,0,1,0.866666667
43,2,0,-1,0.764705882
43,3,1,1,0.538461538
43,3,1,-1,0.75
43,4,2,1,0.6875
43,4,2,-1,0.923076923
43,5,3,1,0.785714286
43,5,3,-1,0.777777778
43,6,4,1,0.769230769
43,6,4,-1,0.789473684
43,7,5,1,0.857142857
43,7,5,-1,0.8
43,8,6,1,0.9375
43,8,6,-1,0.777777778
43,9,7,1,0.75
43,9,7,-1,0.875
44,2,0,1,0.866666667
44,2,0,-1,0.916666667
44,3,1,1,0.8
44,3,1,-1,0.875
44,4,2,1,0.764705882
44,4,2,-1,0.8
44,5,3,1,0.944444444
44,5,3,-1,0.875
44,6,4,1,0.9375
44,6,4,-1,0.888888889
44,7,5,1,1
44,7,5,-1,0.846153846
44,8,6,1,0.866666667
44,8,6,-1,0.928571429
44,9,7,1,0.933333333
44,9,7,-1,0.909090909
49,2,0,1,1
49,2,0,-1,0.5
49,3,1,1,1
49,3,1,-1,0.80952381
49,4,2,1,0.941176471
49,4,2,-1,0.95
49,5,3,1,0.75
49,5,3,-1,1
49,6,4,1,0.923076923
49,6,4,-1,0.846153846
49,7,5,1,0.933333333
49,7,5,-1,1
49,8,6,1,1
49,8,6,-1,1
49,9,7,1,0.8125
49,9,7,-1,1
50,2,0,1,0.846153846
50,2,0,-1,0.818181818
50,3,1,1,0.928571429
50,3,1,-1,0.941176471
50,4,2,1,0.882352941
50,4,2,-1,0.941176471
50,5,3,1,0.857142857
50,5,3,-1,1
50,6,4,1,0.933333333
50,6,4,-1,0.923076923
50,7,5,1,0.833333333
50,7,5,-1,0.846153846
50,8,6,1,0.947368421
50,8,6,-1,0.95
50,9,7,1,1
50,9,7,-1,0.875
51,2,0,1,0.833333333
51,2,0,-1,0.833333333
51,3,1,1,0.928571429
51,3,1,-1,0.846153846
51,4,2,1,0.9375
51,4,2,-1,0.916666667
51,5,3,1,1
51,5,3,-1,0.875
51,6,4,1,0.857142857
51,6,4,-1,1
51,7,5,1,0.857142857
51,7,5,-1,0.95
51,8,6,1,0.928571429
51,8,6,-1,0.846153846
51,9,7,1,1
51,9,7,-1,1
52,2,0,1,0.866666667
52,2,0,-1,0.9
52,3,1,1,0.928571429
52,3,1,-1,0.947368421
52,4,2,1,0.8125
52,4,2,-1,0.857142857
52,5,3,1,0.894736842
52,5,3,-1,0.909090909
52,6,4,1,0.933333333
52,6,4,-1,0.75
52,7,5,1,0.933333333
52,7,5,-1,1
52,8,6,1,1
52,8,6,-1,1
52,9,7,1,0.941176471
52,9,7,-1,0.923076923
57,2,0,1,0.833333333
57,2,0,-1,0.636363636
57,3,1,1,0.933333333
57,3,1,-1,0.894736842
57,4,2,1,0.866666667
57,4,2,-1,0.785714286
57,5,3,1,0.866666667
57,5,3,-1,0.875
57,6,4,1,0.875
57,6,4,-1,0.846153846
57,7,5,1,0.866666667
57,7,5,-1,0.833333333
57,8,6,1,1
57,8,6,-1,0.833333333
57,9,7,1,1
57,9,7,-1,0.944444444
58,2,0,1,0.5
58,2,0,-1,0.545454545
58,3,1,1,0.833333333
58,3,1,-1,0.6
58,4,2,1,0.769230769
58,4,2,-1,0.8
58,5,3,1,0.8
58,5,3,-1,0.8125
58,6,4,1,0.736842105
58,6,4,-1,0.85
58,7,5,1,0.833333333
58,7,5,-1,0.8125
58,8,6,1,0.761904762
58,8,6,-1,0.833333333
58,9,7,1,0.875
58,9,7,-1,0.8
59,2,0,1,0.875
59,2,0,-1,0.952380952
59,3,1,1,0.9375
59,3,1,-1,0.933333333
59,4,2,1,0.9375
59,4,2,-1,0.933333333
59,5,3,1,0.933333333
59,5,3,-1,0.933333333
59,6,4,1,0.933333333
59,6,4,-1,0.909090909
59,7,5,1,0.75
59,7,5,-1,1
59,8,6,1,0.941176471
59,8,6,-1,1
59,9,7,1,0.941176471
59,9,7,-1,0.904761905
60,2,0,1,0.842105263
60,2,0,-1,0.733333333
60,3,1,1,0.9
60,3,1,-1,0.6875
60,4,2,1,0.875
60,4,2,-1,0.846153846
60,5,3,1,0.866666667
60,5,3,-1,1
60,6,4,1,1
60,6,4,-1,0.894736842
60,7,5,1,0.923076923
60,7,5,-1,0.833333333
60,8,6,1,0.933333333
60,8,6,-1,0.733333333
60,9,7,1,0.9375
60,9,7,-1,0.777777778
81,2,0,1,0.933333333
81,2,0,-1,1
81,3,1,1,0.944444444
81,3,1,-1,1
81,4,2,1,0.928571429
81,4,2,-1,0.933333333
81,5,3,1,1
81,5,3,-1,0.823529412
81,6,4,1,0.941176471
81,6,4,-1,0.916666667
81,7,5,1,0.941176471
81,7,5,-1,0.866666667
81,8,6,1,0.947368421
81,8,6,-1,0.962962963
81,9,7,1,1
81,9,7,-1,0.947368421
91,2,0,1,0.692307692
91,2,0,-1,0.75
91,3,1,1,1
91,3,1,-1,0.666666667
91,4,2,1,0.9
91,4,2,-1,0.714285714
91,5,3,1,0.857142857
91,5,3,-1,0.8125
91,6,4,1,0.857142857
91,6,4,-1,0.846153846
91,7,5,1,0.941176471
91,7,5,-1,0.75
91,8,6,1,0.928571429
91,8,6,-1,0.857142857
91,9,7,1,0.823529412
91,9,7,-1,0.705882353
